investor_id,gap_days,status
INV000158,118.0,At Risk
INV000159,218.0,At Risk
INV000160,143.0,At Risk
INV000161,191.0,At Risk
INV000162,435.0,At Risk
INV000163,80.0,At Risk
INV000164,208.0,At Risk
INV000165,236.0,At Risk
INV000166,253.0,At Risk
INV000167,195.0,At Risk
INV000168,320.0,At Risk
INV000169,121.0,At Risk
INV000170,33.0,Active
INV000171,103.0,At Risk
INV000172,298.0,At Risk
INV000173,156.0,At Risk
INV000174,117.0,At Risk
INV000175,150.0,At Risk
INV000176,204.0,At Risk
INV000177,210.0,At Risk
INV000178,230.0,At Risk
INV000179,85.0,At Risk
INV000180,226.0,At Risk
INV000181,264.0,At Risk
INV000182,182.0,At Risk
INV000183,177.0,At Risk
INV000184,,Active
INV000185,196.0,At Risk
INV000186,121.0,At Risk
INV000187,,Active
INV000188,219.0,At Risk
INV000189,120.0,At Risk
INV000190,240.0,At Risk
INV000191,85.0,At Risk
INV000192,122.0,At Risk
INV000193,208.0,At Risk
INV000194,109.0,At Risk
INV000195,114.0,At Risk
INV000196,147.0,At Risk
INV000197,210.0,At Risk
INV000198,,Active
INV000199,191.0,At Risk
INV000200,163.0,At Risk
INV000201,100.0,At Risk
INV000202,272.0,At Risk
INV000203,131.0,At Risk
INV000204,173.0,At Risk
INV000205,193.0,At Risk
INV000206,175.0,At Risk
INV000207,238.0,At Risk
INV000208,,Active
INV000209,29.0,Active
INV000210,163.0,At Risk
INV000211,190.0,At Risk
INV000212,88.0,At Risk
INV000213,103.0,At Risk
INV000214,206.0,At Risk
INV000215,198.0,At Risk
INV000216,107.0,At Risk
INV000217,150.0,At Risk
INV000218,,Active
INV000219,166.0,At Risk
INV000220,253.0,At Risk
INV000221,101.0,At Risk
INV000222,109.0,At Risk
INV000223,123.0,At Risk
INV000224,138.0,At Risk
INV000225,150.0,At Risk
INV000226,105.0,At Risk
INV000227,165.0,At Risk
INV000228,109.0,At Risk
INV000229,78.0,At Risk
INV000230,145.0,At Risk
INV000231,96.0,At Risk
INV000232,205.0,At Risk
INV000233,205.0,At Risk
INV000234,167.0,At Risk
INV000235,140.0,At Risk
INV000236,112.0,At Risk
INV000237,127.0,At Risk
INV000238,242.0,At Risk
INV000239,66.0,At Risk
INV000240,74.0,At Risk
INV000241,93.0,At Risk
INV000242,98.0,At Risk
INV000243,126.0,At Risk
INV000244,109.0,At Risk
INV000245,92.0,At Risk
INV000246,117.0,At Risk
INV000247,,Active
INV000248,204.0,At Risk
INV000249,162.0,At Risk
INV000250,,Active
INV000251,204.0,At Risk
INV000252,96.0,At Risk
INV000253,458.0,At Risk
INV000254,249.0,At Risk
INV000255,149.0,At Risk
INV000256,79.0,At Risk
INV000257,88.0,At Risk
INV000258,,Active
INV000259,119.0,At Risk
INV000260,126.0,At Risk
INV000261,228.0,At Risk
INV000262,95.0,At Risk
INV000263,229.0,At Risk
INV000264,158.0,At Risk
INV000265,140.0,At Risk
INV000266,104.0,At Risk
INV000267,134.0,At Risk
INV000268,106.0,At Risk
INV000269,156.0,At Risk
INV000270,130.0,At Risk
INV000271,203.0,At Risk
INV000272,228.0,At Risk
INV000273,,Active
INV000274,175.0,At Risk
INV000275,255.0,At Risk
INV000276,187.0,At Risk
INV000277,,Active
INV000278,193.0,At Risk
INV000279,133.0,At Risk
INV000280,112.0,At Risk
INV000281,382.0,At Risk
INV000282,278.0,At Risk
INV000283,132.0,At Risk
INV000284,137.0,At Risk
INV000285,94.0,At Risk
INV000286,215.0,At Risk
INV000287,171.0,At Risk
INV000288,84.0,At Risk
INV000289,93.0,At Risk
INV000290,229.0,At Risk
INV000291,189.0,At Risk
INV000292,85.0,At Risk
INV000293,126.0,At Risk
INV000294,156.0,At Risk
INV000295,89.0,At Risk
INV000296,111.0,At Risk
INV000297,116.0,At Risk
INV000298,118.0,At Risk
INV000299,118.0,At Risk
INV000300,131.0,At Risk
INV000301,92.0,At Risk
INV000302,25.0,Active
INV000303,160.0,At Risk
INV000304,204.0,At Risk
INV000305,122.0,At Risk
INV000306,115.0,At Risk
INV000307,162.0,At Risk
INV000308,212.0,At Risk
INV000309,93.0,At Risk
INV000310,77.0,At Risk
INV000311,233.0,At Risk
INV000312,140.0,At Risk
INV000313,310.0,At Risk
INV000314,106.0,At Risk
INV000315,113.0,At Risk
INV000316,184.0,At Risk
INV000317,250.0,At Risk
INV000318,124.0,At Risk
INV000319,189.0,At Risk
INV000320,94.0,At Risk
INV000321,117.0,At Risk
INV000322,206.0,At Risk
INV000323,129.0,At Risk
INV000324,385.0,At Risk
INV000325,138.0,At Risk
INV000326,201.0,At Risk
INV000327,274.0,At Risk
INV000328,67.0,At Risk
INV000329,163.0,At Risk
INV000330,133.0,At Risk
INV000331,163.0,At Risk
INV000332,208.0,At Risk
INV000333,174.0,At Risk
INV000334,78.0,At Risk
INV000335,163.0,At Risk
INV000336,150.0,At Risk
INV000337,192.0,At Risk
INV000338,60.0,At Risk
INV000339,180.0,At Risk
INV000340,60.0,At Risk
INV000341,191.0,At Risk
INV000342,,Active
INV000343,148.0,At Risk
INV000344,155.0,At Risk
INV000345,,Active
INV000346,111.0,At Risk
INV000347,224.0,At Risk
INV000348,180.0,At Risk
INV000349,103.0,At Risk
INV000350,85.0,At Risk
INV000351,142.0,At Risk
INV000352,215.0,At Risk
INV000353,301.0,At Risk
INV000354,120.0,At Risk
INV000355,,Active
INV000356,157.0,At Risk
INV000357,174.0,At Risk
INV000358,88.0,At Risk
INV000359,112.0,At Risk
INV000360,124.0,At Risk
INV000361,108.0,At Risk
INV000362,264.0,At Risk
INV000363,141.0,At Risk
INV000364,100.0,At Risk
INV000365,,Active
INV000366,150.0,At Risk
INV000367,116.0,At Risk
INV000368,509.0,At Risk
INV000369,112.0,At Risk
INV000370,257.0,At Risk
INV000371,147.0,At Risk
INV000372,121.0,At Risk
INV000373,243.0,At Risk
INV000374,173.0,At Risk
INV000375,,Active
INV000376,155.0,At Risk
INV000377,202.0,At Risk
INV000378,88.0,At Risk
INV000379,248.0,At Risk
INV000380,191.0,At Risk
INV000381,114.0,At Risk
INV000382,70.0,At Risk
INV000383,127.0,At Risk
INV000384,110.0,At Risk
INV000385,147.0,At Risk
INV000386,,Active
INV000387,108.0,At Risk
INV000388,97.0,At Risk
INV000389,220.0,At Risk
INV000390,79.0,At Risk
INV000391,,Active
INV000392,144.0,At Risk
INV000393,156.0,At Risk
INV000394,174.0,At Risk
INV000395,119.0,At Risk
INV000396,95.0,At Risk
INV000397,205.0,At Risk
INV000398,72.0,At Risk
INV000399,68.0,At Risk
INV000400,82.0,At Risk
INV000401,32.0,Active
INV000402,121.0,At Risk
INV000403,120.0,At Risk
INV000404,355.0,At Risk
INV000405,60.0,At Risk
INV000406,16.0,Active
INV000407,157.0,At Risk
INV000408,125.0,At Risk
INV000409,155.0,At Risk
INV000410,152.0,At Risk
INV000411,101.0,At Risk
INV000412,69.0,At Risk
INV000413,159.0,At Risk
INV000414,219.0,At Risk
INV000415,128.0,At Risk
INV000416,119.0,At Risk
INV000417,157.0,At Risk
INV000418,126.0,At Risk
INV000419,201.0,At Risk
INV000420,,Active
INV000421,202.0,At Risk
INV000422,,Active
INV000423,265.0,At Risk
INV000424,100.0,At Risk
INV000425,215.0,At Risk
INV000426,171.0,At Risk
INV000427,82.0,At Risk
INV000428,154.0,At Risk
INV000429,171.0,At Risk
INV000430,264.0,At Risk
INV000431,98.0,At Risk
INV000432,195.0,At Risk
INV000433,166.0,At Risk
INV000434,,Active
INV000435,,Active
INV000436,170.0,At Risk
INV000437,277.0,At Risk
INV000438,117.0,At Risk
INV000439,68.0,At Risk
INV000440,116.0,At Risk
INV000441,151.0,At Risk
INV000442,193.0,At Risk
INV000443,331.0,At Risk
INV000444,97.0,At Risk
INV000445,104.0,At Risk
INV000446,95.0,At Risk
INV000447,,Active
INV000448,332.0,At Risk
INV000449,142.0,At Risk
INV000450,31.0,Active
INV000451,33.0,Active
INV000452,93.0,At Risk
INV000453,108.0,At Risk
INV000454,291.0,At Risk
INV000455,171.0,At Risk
INV000456,75.0,At Risk
INV000457,151.0,At Risk
INV000458,92.0,At Risk
INV000459,195.0,At Risk
INV000460,227.0,At Risk
INV000461,90.0,At Risk
INV000462,79.0,At Risk
INV000463,76.0,At Risk
INV000464,,Active
INV000465,236.0,At Risk
INV000466,135.0,At Risk
INV000467,272.0,At Risk
INV000468,,Active
INV000469,104.0,At Risk
INV000470,311.0,At Risk
INV000471,163.0,At Risk
INV000472,314.0,At Risk
INV000473,190.0,At Risk
INV000474,203.0,At Risk
INV000475,346.0,At Risk
INV000476,116.0,At Risk
INV000477,93.0,At Risk
INV000478,36.0,At Risk
INV000479,99.0,At Risk
INV000480,164.0,At Risk
INV000481,117.0,At Risk
INV000482,202.0,At Risk
INV000483,216.0,At Risk
INV000484,,Active
INV000485,270.0,At Risk
INV000486,160.0,At Risk
INV000487,121.0,At Risk
INV000488,203.0,At Risk
INV000489,150.0,At Risk
INV000490,163.0,At Risk
INV000491,136.0,At Risk
INV000492,143.0,At Risk
INV000493,178.0,At Risk
INV000494,162.0,At Risk
INV000495,142.0,At Risk
INV000496,167.0,At Risk
INV000497,176.0,At Risk
INV000498,231.0,At Risk
INV000499,126.0,At Risk
INV000500,119.0,At Risk
INV000501,129.0,At Risk
INV000502,,Active
INV000503,72.0,At Risk
INV000504,,Active
INV000505,120.0,At Risk
INV000506,80.0,At Risk
INV000507,136.0,At Risk
INV000508,124.0,At Risk
INV000509,107.0,At Risk
INV000510,190.0,At Risk
INV000511,206.0,At Risk
INV000512,112.0,At Risk
INV000513,103.0,At Risk
INV000514,135.0,At Risk
INV000515,341.0,At Risk
INV000516,340.0,At Risk
INV000517,308.0,At Risk
INV000518,217.0,At Risk
INV000519,149.0,At Risk
INV000520,156.0,At Risk
INV000521,73.0,At Risk
INV000522,87.0,At Risk
INV000523,206.0,At Risk
INV000524,91.0,At Risk
INV000525,126.0,At Risk
INV000526,107.0,At Risk
INV000527,148.0,At Risk
INV000528,,Active
INV000529,117.0,At Risk
INV000530,206.0,At Risk
INV000531,82.0,At Risk
INV000532,89.0,At Risk
INV000533,225.0,At Risk
INV000534,243.0,At Risk
INV000535,263.0,At Risk
INV000536,142.0,At Risk
INV000537,105.0,At Risk
INV000538,60.0,At Risk
INV000539,153.0,At Risk
INV000540,123.0,At Risk
INV000541,56.0,At Risk
INV000542,192.0,At Risk
INV000543,170.0,At Risk
INV000544,152.0,At Risk
INV000545,107.0,At Risk
INV000546,140.0,At Risk
INV000547,157.0,At Risk
INV000548,186.0,At Risk
INV000549,146.0,At Risk
INV000550,226.0,At Risk
INV000551,192.0,At Risk
INV000552,95.0,At Risk
INV000553,172.0,At Risk
INV000554,102.0,At Risk
INV000555,375.0,At Risk
INV000556,147.0,At Risk
INV000557,294.0,At Risk
INV000558,171.0,At Risk
INV000559,314.0,At Risk
INV000560,217.0,At Risk
INV000561,,Active
INV000562,197.0,At Risk
INV000563,95.0,At Risk
INV000564,162.0,At Risk
INV000565,181.0,At Risk
INV000566,122.0,At Risk
INV000567,121.0,At Risk
INV000568,99.0,At Risk
INV000569,88.0,At Risk
INV000570,93.0,At Risk
INV000571,,Active
INV000572,163.0,At Risk
INV000573,93.0,At Risk
INV000574,195.0,At Risk
INV000575,155.0,At Risk
INV000576,190.0,At Risk
INV000577,169.0,At Risk
INV000578,113.0,At Risk
INV000579,,Active
INV000580,92.0,At Risk
INV000581,128.0,At Risk
INV000582,,Active
INV000583,133.0,At Risk
INV000584,153.0,At Risk
INV000585,130.0,At Risk
INV000586,223.0,At Risk
INV000587,112.0,At Risk
INV000588,444.0,At Risk
INV000589,90.0,At Risk
INV000590,182.0,At Risk
INV000591,112.0,At Risk
INV000592,268.0,At Risk
INV000593,86.0,At Risk
INV000594,,Active
INV000595,106.0,At Risk
INV000596,101.0,At Risk
INV000597,142.0,At Risk
INV000598,170.0,At Risk
INV000599,158.0,At Risk
INV000600,156.0,At Risk
INV000601,97.0,At Risk
INV000602,128.0,At Risk
INV000603,236.0,At Risk
INV000604,75.0,At Risk
INV000605,223.0,At Risk
INV000606,148.0,At Risk
INV000607,145.0,At Risk
INV000608,241.0,At Risk
INV000609,77.0,At Risk
INV000610,,Active
INV000611,121.0,At Risk
INV000612,169.0,At Risk
INV000613,227.0,At Risk
INV000614,65.0,At Risk
INV000615,139.0,At Risk
INV000616,185.0,At Risk
INV000617,77.0,At Risk
INV000618,7.0,Active
INV000619,73.0,At Risk
INV000620,,Active
INV000621,105.0,At Risk
INV000622,293.0,At Risk
INV000623,143.0,At Risk
INV000624,145.0,At Risk
INV000625,91.0,At Risk
INV000626,134.0,At Risk
INV000627,268.0,At Risk
INV000628,304.0,At Risk
INV000629,276.0,At Risk
INV000630,142.0,At Risk
INV000631,82.0,At Risk
INV000632,281.0,At Risk
INV000633,120.0,At Risk
INV000634,90.0,At Risk
INV000635,221.0,At Risk
INV000636,160.0,At Risk
INV000637,154.0,At Risk
INV000638,138.0,At Risk
INV000639,129.0,At Risk
INV000640,,Active
INV000641,126.0,At Risk
INV000642,139.0,At Risk
INV000643,127.0,At Risk
INV000644,313.0,At Risk
INV000645,88.0,At Risk
INV000646,96.0,At Risk
INV000647,265.0,At Risk
INV000648,88.0,At Risk
INV000649,230.0,At Risk
INV000650,171.0,At Risk
INV000651,280.0,At Risk
INV000652,154.0,At Risk
INV000653,164.0,At Risk
INV000654,166.0,At Risk
INV000655,132.0,At Risk
INV000656,116.0,At Risk
INV000657,95.0,At Risk
INV000658,153.0,At Risk
INV000659,228.0,At Risk
INV000660,99.0,At Risk
INV000661,106.0,At Risk
INV000662,113.0,At Risk
INV000663,247.0,At Risk
INV000664,149.0,At Risk
INV000665,79.0,At Risk
INV000666,170.0,At Risk
INV000667,135.0,At Risk
INV000668,339.0,At Risk
INV000669,191.0,At Risk
INV000670,143.0,At Risk
INV000671,118.0,At Risk
INV000672,41.0,At Risk
INV000673,235.0,At Risk
INV000674,31.0,Active
INV000675,111.0,At Risk
INV000676,61.0,At Risk
INV000677,226.0,At Risk
INV000678,77.0,At Risk
INV000679,193.0,At Risk
INV000680,165.0,At Risk
INV000681,246.0,At Risk
INV000682,232.0,At Risk
INV000683,137.0,At Risk
INV000684,191.0,At Risk
INV000685,11.0,Active
INV000686,203.0,At Risk
INV000687,187.0,At Risk
INV000688,81.0,At Risk
INV000689,110.0,At Risk
INV000690,116.0,At Risk
INV000691,131.0,At Risk
INV000692,,Active
INV000693,116.0,At Risk
INV000694,184.0,At Risk
INV000695,110.0,At Risk
INV000696,193.0,At Risk
INV000697,,Active
INV000698,101.0,At Risk
INV000699,90.0,At Risk
INV000700,93.0,At Risk
INV000701,230.0,At Risk
INV000702,188.0,At Risk
INV000703,177.0,At Risk
INV000704,183.0,At Risk
INV000705,165.0,At Risk
INV000706,116.0,At Risk
INV000707,130.0,At Risk
INV000708,182.0,At Risk
INV000709,100.0,At Risk
INV000710,143.0,At Risk
INV000711,160.0,At Risk
INV000712,,Active
INV000713,177.0,At Risk
INV000714,95.0,At Risk
INV000715,107.0,At Risk
INV000716,192.0,At Risk
INV000717,232.0,At Risk
INV000718,79.0,At Risk
INV000719,129.0,At Risk
INV000720,134.0,At Risk
INV000721,210.0,At Risk
INV000722,164.0,At Risk
INV000723,323.0,At Risk
INV000724,209.0,At Risk
INV000725,92.0,At Risk
INV000726,165.0,At Risk
INV000727,25.0,Active
INV000728,113.0,At Risk
INV000729,135.0,At Risk
INV000730,145.0,At Risk
INV000731,152.0,At Risk
INV000732,130.0,At Risk
INV000733,189.0,At Risk
INV000734,180.0,At Risk
INV000735,264.0,At Risk
INV000736,132.0,At Risk
INV000737,124.0,At Risk
INV000738,163.0,At Risk
INV000739,219.0,At Risk
INV000740,223.0,At Risk
INV000741,101.0,At Risk
INV000742,176.0,At Risk
INV000743,196.0,At Risk
INV000744,96.0,At Risk
INV000745,217.0,At Risk
INV000746,124.0,At Risk
INV000747,125.0,At Risk
INV000748,114.0,At Risk
INV000749,127.0,At Risk
INV000750,177.0,At Risk
INV000751,97.0,At Risk
INV000752,269.0,At Risk
INV000753,112.0,At Risk
INV000754,103.0,At Risk
INV000755,115.0,At Risk
INV000756,157.0,At Risk
INV000757,167.0,At Risk
INV000758,180.0,At Risk
INV000759,141.0,At Risk
INV000760,148.0,At Risk
INV000761,173.0,At Risk
INV000762,367.0,At Risk
INV000763,,Active
INV000764,154.0,At Risk
INV000765,166.0,At Risk
INV000766,197.0,At Risk
INV000767,227.0,At Risk
INV000768,68.0,At Risk
INV000769,206.0,At Risk
INV000770,39.0,At Risk
INV000771,176.0,At Risk
INV000772,98.0,At Risk
INV000773,,Active
INV000774,148.0,At Risk
INV000775,177.0,At Risk
INV000776,71.0,At Risk
INV000777,91.0,At Risk
INV000778,168.0,At Risk
INV000779,92.0,At Risk
INV000780,,Active
INV000781,191.0,At Risk
INV000782,105.0,At Risk
INV000783,145.0,At Risk
INV000784,244.0,At Risk
INV000785,154.0,At Risk
INV000786,199.0,At Risk
INV000787,,Active
INV000788,159.0,At Risk
INV000789,171.0,At Risk
INV000790,,Active
INV000791,109.0,At Risk
INV000792,271.0,At Risk
INV000793,104.0,At Risk
INV000794,,Active
INV000795,155.0,At Risk
INV000796,194.0,At Risk
INV000797,378.0,At Risk
INV000798,,Active
INV000799,213.0,At Risk
INV000800,333.0,At Risk
INV000801,131.0,At Risk
INV000802,89.0,At Risk
INV000803,147.0,At Risk
INV000804,208.0,At Risk
INV000805,,Active
INV000806,109.0,At Risk
INV000807,3.0,Active
INV000808,292.0,At Risk
INV000809,262.0,At Risk
INV000810,93.0,At Risk
INV000811,217.0,At Risk
INV000812,,Active
INV000813,300.0,At Risk
INV000814,113.0,At Risk
INV000815,161.0,At Risk
INV000816,216.0,At Risk
INV000817,,Active
INV000818,261.0,At Risk
INV000819,116.0,At Risk
INV000820,168.0,At Risk
INV000821,81.0,At Risk
INV000822,98.0,At Risk
INV000823,69.0,At Risk
INV000824,279.0,At Risk
INV000825,122.0,At Risk
INV000826,218.0,At Risk
INV000827,95.0,At Risk
INV000828,429.0,At Risk
INV000829,151.0,At Risk
INV000830,122.0,At Risk
INV000831,134.0,At Risk
INV000832,93.0,At Risk
INV000833,178.0,At Risk
INV000834,241.0,At Risk
INV000835,,Active
INV000836,123.0,At Risk
INV000837,358.0,At Risk
INV000838,119.0,At Risk
INV000839,192.0,At Risk
INV000840,186.0,At Risk
INV000841,213.0,At Risk
INV000842,,Active
INV000843,101.0,At Risk
INV000844,131.0,At Risk
INV000845,201.0,At Risk
INV000846,135.0,At Risk
INV000847,56.0,At Risk
INV000848,132.0,At Risk
INV000849,128.0,At Risk
INV000850,60.0,At Risk
INV000851,112.0,At Risk
INV000852,246.0,At Risk
INV000853,143.0,At Risk
INV000854,170.0,At Risk
INV000855,309.0,At Risk
INV000856,128.0,At Risk
INV000857,159.0,At Risk
INV000858,131.0,At Risk
INV000859,190.0,At Risk
INV000860,110.0,At Risk
INV000861,163.0,At Risk
INV000862,158.0,At Risk
INV000863,,Active
INV000864,135.0,At Risk
INV000865,99.0,At Risk
INV000866,141.0,At Risk
INV000867,120.0,At Risk
INV000868,,Active
INV000869,95.0,At Risk
INV000870,94.0,At Risk
INV000871,,Active
INV000872,,Active
INV000873,166.0,At Risk
INV000874,136.0,At Risk
INV000875,79.0,At Risk
INV000876,66.0,At Risk
INV000877,75.0,At Risk
INV000878,66.0,At Risk
INV000879,108.0,At Risk
INV000880,166.0,At Risk
INV000881,103.0,At Risk
INV000882,,Active
INV000883,257.0,At Risk
INV000884,205.0,At Risk
INV000885,261.0,At Risk
INV000886,100.0,At Risk
INV000887,238.0,At Risk
INV000888,166.0,At Risk
INV000889,263.0,At Risk
INV000890,108.0,At Risk
INV000891,116.0,At Risk
INV000892,171.0,At Risk
INV000893,147.0,At Risk
INV000894,181.0,At Risk
INV000895,142.0,At Risk
INV000896,173.0,At Risk
INV000897,151.0,At Risk
INV000898,323.0,At Risk
INV000899,260.0,At Risk
INV000900,131.0,At Risk
INV000901,95.0,At Risk
INV000902,96.0,At Risk
INV000903,,Active
INV000904,186.0,At Risk
INV000905,,Active
INV000906,109.0,At Risk
INV000907,115.0,At Risk
INV000908,145.0,At Risk
INV000909,151.0,At Risk
INV000910,151.0,At Risk
INV000911,,Active
INV000912,144.0,At Risk
INV000913,211.0,At Risk
INV000914,116.0,At Risk
INV000915,120.0,At Risk
INV000916,,Active
INV000917,,Active
INV000918,247.0,At Risk
INV000919,204.0,At Risk
INV000920,140.0,At Risk
INV000921,261.0,At Risk
INV000922,126.0,At Risk
INV000923,,Active
INV000924,,Active
INV000925,202.0,At Risk
INV000926,111.0,At Risk
INV000927,53.0,At Risk
INV000928,9.0,Active
INV000929,104.0,At Risk
INV000930,75.0,At Risk
INV000931,124.0,At Risk
INV000932,239.0,At Risk
INV000933,193.0,At Risk
INV000934,61.0,At Risk
INV000935,73.0,At Risk
INV000936,,Active
INV000937,197.0,At Risk
INV000938,153.0,At Risk
INV000939,93.0,At Risk
INV000940,139.0,At Risk
INV000941,189.0,At Risk
INV000942,118.0,At Risk
INV000943,210.0,At Risk
INV000944,265.0,At Risk
INV000945,,Active
INV000946,117.0,At Risk
INV000947,221.0,At Risk
INV000948,87.0,At Risk
INV000949,120.0,At Risk
INV000950,189.0,At Risk
INV000951,,Active
INV000952,,Active
INV000953,185.0,At Risk
INV000954,116.0,At Risk
INV000955,267.0,At Risk
INV000956,,Active
INV000957,122.0,At Risk
INV000958,208.0,At Risk
INV000959,163.0,At Risk
INV000960,150.0,At Risk
INV000961,240.0,At Risk
INV000962,133.0,At Risk
INV000963,231.0,At Risk
INV000964,217.0,At Risk
INV000965,,Active
INV000966,106.0,At Risk
INV000967,47.0,At Risk
INV000968,286.0,At Risk
INV000969,179.0,At Risk
INV000970,104.0,At Risk
INV000971,115.0,At Risk
INV000972,107.0,At Risk
INV000973,55.0,At Risk
INV000974,131.0,At Risk
INV000975,44.0,At Risk
INV000976,100.0,At Risk
INV000977,137.0,At Risk
INV000978,95.0,At Risk
INV000979,115.0,At Risk
INV000980,121.0,At Risk
INV000981,52.0,At Risk
INV000982,70.0,At Risk
INV000983,198.0,At Risk
INV000984,88.0,At Risk
INV000985,147.0,At Risk
INV000986,182.0,At Risk
INV000987,117.0,At Risk
INV000988,140.0,At Risk
INV000989,269.0,At Risk
INV000990,263.0,At Risk
INV000991,169.0,At Risk
INV000992,240.0,At Risk
INV000993,,Active
INV000994,161.0,At Risk
INV000995,60.0,At Risk
INV000996,30.0,Active
INV000997,131.0,At Risk
INV000998,113.0,At Risk
INV000999,145.0,At Risk
INV001000,16.0,Active
INV001001,137.0,At Risk
INV001002,103.0,At Risk
INV001003,106.0,At Risk
INV001004,99.0,At Risk
INV001005,117.0,At Risk
INV001006,233.0,At Risk
INV001007,52.0,At Risk
INV001008,191.0,At Risk
INV001009,125.0,At Risk
INV001010,,Active
INV001011,234.0,At Risk
INV001012,102.0,At Risk
INV001013,112.0,At Risk
INV001014,182.0,At Risk
INV001015,77.0,At Risk
INV001016,199.0,At Risk
INV001017,142.0,At Risk
INV001018,51.0,At Risk
INV001019,160.0,At Risk
INV001020,156.0,At Risk
INV001021,186.0,At Risk
INV001022,217.0,At Risk
INV001023,155.0,At Risk
INV001024,162.0,At Risk
INV001025,76.0,At Risk
INV001026,132.0,At Risk
INV001027,149.0,At Risk
INV001028,182.0,At Risk
INV001029,158.0,At Risk
INV001030,237.0,At Risk
